ID1 ID2 Start End Label
[0,1] ;2 ;1251 ;InGroup OK
[0,2] [5]    ;50803  ;50886   ;Fight
[1] [4]      ;50803  ;50886   ;Fight
[2] [5]      ;50886  ;50908   ;Fight
[0,1] [4]    ;50886  ;50908   ;Fight
[1,2] [5]    ;50908  ;51002   ;Fight
[0] [4]      ;50908  ;51050   ;Fight
[1] [2,5]    ;51002  ;51011   ;Split
[1] [5]      ;51011  ;51050   ;Split
[4,5] ;51063  ;51167   ;RunTogether
[0,2] ;51084  ;51111   ;RunTogether
[0,1,2,4,5]  ;52262  ;52268   ;InGroup
[0,1] ;52268  ;52388   ;Fight
[2,4,5]      ;52268  ;52388   ;InGroup
[0,1,5]      ;52388  ;52516   ;Fight
[2,4] ;52388  ;52516   ;InGroup
[0,1] ;52516  ;52758   ;Fight
[2,4,5]      ;52516  ;52758   ;InGroup
[1,2,4,5]    ;52758  ;52929   ;InGroup
[5] [0,1,2,4];54714  ;55004   ;Fight
[5] [0,1,2,4];55042  ;55075   ;Split
[4] [0,2] ;55042  ;55095   ;Following
[1] [0,2] ;55042  ;55095   ;Following
[0,2]    ;55025  ;55095   ;RunTogether
[1,4]    ;55025  ;55095   ;RunTogether
[0,1] ;60289  ;60349   ;InGroup
[0,1,2,4,5]  ;60349  ;60423   ;InGroup
[0] [4]      ;60423  ;60635   ;Fight
[1] [2,5]    ;60423  ;60683   ;Fight
[0] [4]      ;60635  ;60669   ;Split
[4] [1,2,5]  ;60639  ;60677   ;Approach
[1] [2,4,5]  ;60683  ;60691   ;Fight
[1,2,4,5] [0] ;63255  ;63396   ;Fight
